nombre,run,Dv,Correo,Nombre_usuario,Contrasena,Telefono_contacto,Jornada,Isapre,Contrato,Codigo_reserva,Codigo_agenda,Fecha,Monto,Cantidad_personas,Estado_disponibilidad,Numero_viaje,Lugar_origen,Lugar_llegada,Fecha_salida,Fecha_llegada,Capacidad,Tiempo_estimado,Precio_asiento,Empresa,Tipo_de_bus,Comodidades,Escalas,Clase,Paradas
"Rubén Ozuna Dávila",26282292,3,RubOondOevila@viajes.cl,Rubéndávila,9YnAg2KAjhfwoT4k,"+56 2 3795 9393",Diurno,Fonasa,"Part time",606340,,,0,,Disponible,3571,pontevedra,TARRAGONA,2026-09-06,2027-01-08,31,2979,168000,"Frontier Airlines",,{},"{Marbella,Cuenta,Marbella}",,{}
"María Teresa Gurule Sedillo",10796104,6,marOAa9841@viajes.cl,Maríasedillo,7s6bZd9AMz3RW,"+56 2 5760 1966",Diurno,Consalud,"Part time",606343,,,,,Disponible,62984,LaLíneadelaConcepción,Valladolid,2026-11-15,2027-04-29,91,3963,217000,Lufthansa,,{},"{Viladecans,""Santa Lucía de Tirajana"",Coslada}",,{}
"Natalia Vela Yáñez",26320093,4,NataliayOenez@viajes.cl,natalia2531,t0PL94MP5,"+56 2 0098 0497",Diurno,Fonasa,"Part time",606571,,,,,Disponible,19968,CornelládeLlobregat,Salamanca,2025-05-09,2025-11-02,17,4260,266000,Vueling,,{},{Palencia},,{}
"Elsa Pelayo Estévez",26149849,9,elpees@viajes.cl,Elsaestévez,UPT8xvuwJ5s,"+56 2 7171 2691",Diurno,Colmena,"Part time",606344,,,,,Disponible,83176,León,Gijón,2026-05-20,2026-08-01,9,1752,111000,"United Airlines",,{},"{""Santa Coloma de Gramanet"",""Roquetas de Mar"",""Molina de Segura"",Calahorra}",,{}
,11840575,7,IsabellOIpez@viajes.cl,Isabellópez,m4uUBovv,"+56 2 8539 1455",Nocturno,,"Part time",,,,,,Disponible,33815,Lugo,Cáceres,2025-06-10,2025-08-13,3,1559,178000,,,{},{},,{}
"Marilu Esquivel Corrales",20924553,1,Marilucorrales@viajes.cl,marilu9278,liMecJ6X3Rg,"+56 9 6438 2804",Diurno,Consalud,"Part time",606346,,,,,Disponible,93184,Leganés,ElEjido,2026-07-12,2026-07-22,42,256,12000,"Singapore Airlines",,{},{},,{}
"Joaquín Pichardo Rosado",28369162,4,jopiro@viajes.cl,Joaquínrosado,hXwp9Aes8SRA6,"+56 2 6900 2697",Diurno,"Más vida","Part time",606347,,,,,Disponible,84808,Alcorcón,Zamora,2025-04-26,2025-09-18,55,3493,318000,"LATAM Airlines",,{},"{Fuenlabrada,Motril,Paterna}",,{}
"Eduardo Villalobos Vázquez",11501393,9,EduardovOezquez@viajes.cl,edvivá,x9Q0ee6CdHVXqx3S,"+56 9 4668 9054",Nocturno,"Más vida","Full time",606349,,,,,Disponible,64069,Calahorra,Avilés,2026-08-25,2026-10-27,36,1534,60000,JetBlue,,{},{Ferrol},,{}
"María Soledad Chávez Ortiz",11575059,3,MarOAaortiz@viajes.cl,maría946,P9HYes26crt,"+56 2 6400 0616",Diurno,"Más vida","Part time",606350,,,,,Disponible,64666,Lérida,Palencia,2025-12-13,2026-05-06,56,3466,182000,KLM,,{},"{Irún,""Santa Coloma de Gramanet"",Manresa,Albacete}",,{}
"Blanca Páez Romero",2068084,9,blanca9473@viajes.cl,blpáro,ys9TU1Hnhy2,"+56 9 1569 9932",Nocturno,"Más vida","Part time",606351,,,,,Disponible,90290,Calahorra,Marbella,2025-07-09,2025-12-28,58,4146,492000,"Air Canada",,{},"{""El Puerto de Santa María"",""San Cristróbal de la Laguna"",Salamanca,Cádiz}",,{}
"Julia Terán Leal",3476264,3,Julialeal@viajes.cl,julia1966,pNNC9rNX7rd6,"+56 9 4904 9723",Nocturno,"Más vida","Full time",606352,,,,,Disponible,62578,Torrelavega,Fuenlabrada,2025-01-20,2025-07-03,41,3953,452000,"Copa Airlines",,{},"{Manresa,Cartagena,Tarragona,Granada}",,{}
"Raquel Palacios Díaz",27692579,2,raquel8972@viajes.cl,raquel1620,ctT7Id6R,"+56 9 9237 2201",Diurno,Fonasa,"Part time",606355,,,0,,Disponible,68719,TalaveradelaReina,Ávila,2026-11-29,2027-04-17,87,3352,325000,Iberia,,{},"{Móstoles,""El Ejido"",Vigo}",,{}
"Pablo Montero Carmona",16074263,1,pamoca@viajes.cl,Pablocarmona,aooVWB5r5TNB,"+56 2 0694 7625",Diurno,Colmena,"Part time",606356,,,,,Disponible,92317,Mataró,SanCristróbaldelaLaguna,2026-04-18,2026-08-29,90,3200,233000,"Japan Airlines",,{},{Logroño},,{}
"Lorenzo Gaytán Lucio",12581914,1,lorenzo950@viajes.cl,logalu,uEU8YBSwunI,"+56 9 3499 5692",Diurno,Consalud,"Full time",606357,,,,,Disponible,47095,TalaveradelaReina,SantaColomadeGramanet,2025-05-23,2025-08-06,20,1823,114000,"Air Canada",,{},"{Cartagena,""Palma de Mallorca""}",,{}
"Ana Luisa Tamez Ortega",19522942,2,ana997@viajes.cl,Anaortega,fh2Dtz3PZb5msLd,"+56 9 3106 6061",Nocturno,Banmédica,"Part time",606358,,,,,Disponible,79164,MolinadeSegura,Lérida,2025-06-15,2025-09-26,86,2495,95000,"Ethiopian Airlines",,{},"{Almería,Barcelona,Burgos}",,{}
"Marisol Elizondo Soliz",22634596,5,maelso@viajes.cl,Marisolsoliz,C3R8fZIAe,"+56 2 3330 8874",Nocturno,"Más vida","Part time",606359,,,,,Disponible,51605,Gijón,Parla,2026-11-01,2027-01-10,70,1693,180000,WestJet,,{},{},,{}
"Lola Jaramillo Almanza",948593,7,lola7167@viajes.cl,lola5514,HSUlYH3I57r,"+56 2 2075 3516",Nocturno,Fonasa,"Part time",606360,,,,,Disponible,44160,RoquetasdeMar,BARCELONA,2025-10-31,2025-12-23,89,1279,124000,"Air New Zealand",,{},{},,{}
"Sra. Marcela Farías Godoy",14814556,3,srmafago@viajes.cl,sra.670,Bcpixe3pU,"+56 9 1356 0260",Nocturno,"Más vida","Part time",606361,,,0,,Disponible,51485,Vitoria,SantaLucíadeTirajana,2026-09-10,2027-02-02,86,3485,214000,JetBlue,,{},"{""Roquetas de Mar"",""San Cristróbal de la Laguna"",Pamplona,Orense}",,{}
"Santiago Crespo Bustos",330419,1,sacrbu@viajes.cl,sacrbu,gvYJ1nNfYhLLBb8,"+56 2 8722 7020",Nocturno,"Más vida","Part time",606363,,,,,Disponible,17422,Manresa,León,2026-05-16,2026-09-13,21,2898,149000,EasyJet,,{},{Logroño},,{}
"Sergio Samaniego Ramos",9530802,3,Sergioramos@viajes.cl,Sergioramos,SmM12kz8apM,"+56 2 5741 4943",Diurno,"Más vida","Full time",606366,,,0,,Disponible,39412,Cuenta,Mataró,2026-10-08,2027-01-05,1,2155,178000,Ryanair,,{},"{Ferrol,Elda,""Hospitalet de LLobregat"",Parla}",,{}
"Nicolás Véliz Ozuna",7290218,1,nicolOes4043@viajes.cl,Nicolásozuna,jWsn6EhTnir2,"+56 9 9277 0716",Nocturno,Colmena,"Full time",606367,,,,,Disponible,28747,SantaColomadeGramanet,Tarragona,2025-07-24,2025-08-17,25,599,177000,Qantas,,{},"{""San Fernando"",""Santa Coloma de Gramanet""}",,{}
"Sr. Alfonso Montes Rodrígez",24561783,6,sralmoro@viajes.cl,Sr.rodrígez,oSEVbGQW16hPqpC,"+56 9 6904 6958",Diurno,Banmédica,"Part time",606369,,,,,Disponible,82558,Segovia,SANSEBASTIáN,2025-11-08,2025-11-26,100,442,13000,"Etihad Airways",,{},"{Arrecife,""Cornellá de Llobregat""}",,{}
"María Cristina Ocasio Samaniego",9209487,1,MarOAasamaniego@viajes.cl,maría3749,1n1AAd1Gb1,"+56 2 5101 0199",Nocturno,Consalud,"Part time",606370,,,,,Disponible,81787,Torrevieja,PalmadeMallorca,2025-03-02,2025-03-12,19,248,170000,"United Airlines",,{},"{Lorca,""Cornellá de Llobregat""}",,{}
"José María Pacheco Tirado",19618170,9,JosOotirado@viajes.cl,jomapati,9oAJl7R8,"+56 2 7464 6084",Diurno,Fonasa,"Full time",606371,,,0,,Disponible,29582,Cuenta,Ceuta,2026-02-17,2026-07-17,96,3609,226000,JetBlue,,{},"{Pamplona,Salamanca}",,{}
"Sta. Carmen Ramos Raya",3578082,3,sta.6448@viajes.cl,sta.7186,MzYYVsWPbJtC5HAk,"+56 9 2272 6013",Diurno,Fonasa,"Full time",606374,,,,,Disponible,70007,Lorca,SanSebastíandelosReyes,2025-02-21,2025-08-14,8,4193,328000,"Etihad Airways",,{},"{Reus,Vitoria}",,{}
"Luz Valdés Zepeda",3189454,9,Luzzepeda@viajes.cl,luz7744,RYNCAgDh5NhQG,"+56 9 8448 3246",Diurno,"Más vida","Part time",606375,,,,,Disponible,42135,LasPalmasdeGranCanaria,RivasVaciamadrid,2026-09-10,2026-11-02,47,1281,123000,Aeroméxico,,{},"{Puertollano,Fuengirola}",,{}
"Elena Baeza Jasso",11911986,3,elbaja@viajes.cl,Elenajasso,8tQDZv1epD,"+56 2 0883 5324",Diurno,"Más vida","Part time",606376,,,,,Disponible,39615,Ceuta,Guadalajara,2026-01-14,2026-05-11,74,2818,95000,Avianca,,{},"{Barcelona,Málaga,""El Puerto de Santa María"",Tarrasa,Alcoy}",,{}
"Salvador Fierro Hernandes",12530841,4,Salvadorhernandes@viajes.cl,safihe,n6SAJlraogcH4C2U,"+56 9 4950 5566",Nocturno,Fonasa,"Full time",606382,,,,,Disponible,94014,Sevilla,Fuengirola,2025-11-05,2026-01-12,51,1641,70000,Aeroméxico,,{},"{""Dos Hermanas""}",,{}
"Sra. Manuela Curiel Olivo",20893842,8,Sra.olivo@viajes.cl,srmacuol,JaCJ2nnrA2P,"+56 9 2324 4372",Nocturno,Banmédica,"Part time",606383,,,,,Disponible,68532,Salamanca,LasPalmasdeGranCanaria,2026-03-09,2026-03-19,69,252,106000,JetBlue,,{},"{Arrecife,Fuengirola}",,{}
"Miguel Barrios Muñiz",23820008,3,mibamu@viajes.cl,miguel5704,AAaeF2LbeqDAC,"+56 9 0196 7464",Nocturno,Colmena,"Part time",606384,,,0,,Disponible,34272,Albacete,ElPratdeLLobregat,2025-08-08,2026-01-07,92,3652,360000,"Ethiopian Airlines",,{},{Oviedo},,{}
"Emilio Armendáriz Carrera",2580601,8,emilio4779@viajes.cl,emilio5598,79b0UzdFyCZCWO,"+56 9 5008 5606",Nocturno,Consalud,"Part time",606385,,,,,Disponible,22445,Coslada,Oviedo,2025-03-08,2025-05-23,100,1833,52000,"Frontier Airlines",,{},"{Gerona,Burgos,""Sanlúcar de Barrameda"",Cáceres,""El Prat de LLobregat""}",,{}
"Rocio Griego Urbina",5901685,7,rocio5151@viajes.cl,Rociourbina,SjZSOffYAj4bFE9,"+56 2 9991 9417",Nocturno,"Más vida","Full time",606386,,,,,Disponible,36998,Pamplona,Badalona,2026-01-03,2026-06-06,40,3708,248000,Qantas,,{},{},,{}
"Sr. Francisca Galindo Laboy",28219472,4,Sr.laboy@viajes.cl,srfrgala,ppt3X87nI,"+56 9 0873 3876",Nocturno,Colmena,"Full time",606389,,,0,,Disponible,25321,granollers,Telde,2025-04-23,2025-09-26,5,3765,399000,"Spirit Airlines",,{},"{""Castellón de la Plana"",""Ciudad Real"",Elche,Parla,""Molina de Segura""}",,{}
"Marisol Griego Santacruz",16046722,3,Marisolsantacruz@viajes.cl,magrsa,x9FltMj5,"+56 2 1811 4745",Nocturno,"Más vida","Full time",606390,,,,,Disponible,5809,Cáceres,Mataró,2026-03-04,2026-05-26,89,2008,143000,JetBlue,,{},"{Cuenta,""Hospitalet de LLobregat"",Alcorcón}",,{}
"Virginia Vergara Zavala",9236669,3,Virginiazavala@viajes.cl,viveza,SIU816iyAtW,"+56 2 8030 9014",Diurno,Colmena,"Part time",606391,,,,,Disponible,46803,Tarragona,ALCALáDEHENARES,2025-01-15,2025-06-23,89,3831,345000,Qantas,,{},"{Murcia,Puertollano,Madrid}",,{}
"Ana Arellano Burgos",28459285,9,Anaburgos@viajes.cl,ana958,xKRxmG2Q0E6XMTk4,"+56 9 1220 0955",Nocturno,"Más vida","Full time",606394,,,,,Disponible,47620,Viladecans,Orihuela,2025-12-22,2026-03-12,20,1930,138000,"Copa Airlines",,{},"{Baracaldo,Barcelona,""Torrejón de Ardoz"",Leganés}",,{}
"Benito Gracia Alcántar",20194915,7,begral@viajes.cl,benito9318,,"+56 9 6204 8218",Nocturno,"Más vida",,606397,,,0,,,29651,Reus,Valdemoro,2025-12-29,2026-04-29,75,2904,124000,"LATAM Airlines",,{},"{Avilés,""Collado Villalba"",León,""Santiago de Compostela"",Alcoy}",,
"Lorenzo Rodríquez Baeza",9456287,2,lorenzo5118@viajes.cl,Lorenzobaeza,Ernr8hIniOYa,"+56 9 3038 5421",Nocturno,Consalud,"Part time",606399,,,0,,Disponible,3862,telde,ColladoVillalba,2025-09-17,2026-03-06,76,4085,349000,"Frontier Airlines",,{},"{Fuenlabrada,""El Puerto de Santa María"",Sagunto,Majadahonda,Granada}",,{}
"Elena Páez Baca",16876147,3,elpOeba@viajes.cl,Elenabaca,R1jPtPdnk57,"+56 9 6320 5620",Nocturno,Colmena,"Part time",606400,,,,,Disponible,59967,guadalajara,Benidorm,2026-03-25,2026-08-11,7,3353,293000,"American Airlines",,{},{},,{}
"Luz Guevara Vanegas",8617666,1,luz4383@viajes.cl,luz9667,6Q9V9I5j,"+56 9 6216 2390",Nocturno,Banmédica,"Part time",606401,,,,,Disponible,71075,Málaga,Mijas,2026-05-04,2026-08-21,13,2631,202000,Emirates,,{},"{Arrecife,Alcoy,Zamora,Oviedo,Valdemoro}",,{}
"Javier Fernández Luna",19754809,6,Javierluna@viajes.cl,javier4399,fJUBI6GMOoHVN,"+56 9 6718 2374",Nocturno,Banmédica,"Full time",606402,,,0,,Disponible,92047,Manresa,Toledo,2025-02-14,2025-05-19,80,2279,104000,"Turkish Airlines",,{},"{Rubí,Baracaldo,Gijón}",,{}
"María del Carmen Irizarry Carranza",515358,1,marOAa7724@viajes.cl,Maríacarranza,Qmpmv1T4LzWws,"+56 2 9712 7459",Diurno,Consalud,"Part time",606403,,,,,Disponible,23581,Fuengirola,CiudadReal,2026-04-13,2026-09-11,30,3633,307000,Iberia,,{},{Vigo},,{}
"Carlos Jiménez Cepeda",26526631,2,cajice@viajes.cl,Carloscepeda,CeOn9FjSt4B,"+56 2 4502 1272",Diurno,Consalud,"Part time",606404,,,,,Disponible,14509,Alcoy,Logroño,2026-06-01,2026-09-09,55,2400,238000,"Air New Zealand",,{},"{""El Puerto de Santa María"",Benidorm,Elche,""La Línea de la Concepción""}",,{}
"Ernesto Escobedo Hurtado",11833903,7,ereshu@viajes.cl,ernesto4254,Fn6KsI0ab,"+56 2 1314 6171",Diurno,Fonasa,"Part time",606407,,,,,Disponible,57461,Benidorm,Leganés,2025-07-01,2025-12-12,90,3949,178000,Iberia,,{},{},,{}
"Sra. Berta Delao López",6820821,1,srbedelOI@viajes.cl,Sra.lópez,rxR3hScu6GD4zp2,"+56 9 6242 7211",Diurno,Consalud,"Part time",606408,,,,,Disponible,1579,Huelva,Arrecife,2025-06-23,2025-08-01,46,941,121000,"LATAM Airlines",,{},"{Cartagena,Elche,""Talavera de la Reina""}",,{}
"Maricarmen Calvillo Alaniz",22170685,4,Maricarmenalaniz@viajes.cl,macaal,at9hM8Jex6Wf,"+56 2 1566 1246",Diurno,Fonasa,"Part time",606409,,,,,Disponible,61989,Manresa,Mataró,2026-01-22,2026-02-18,8,654,27000,"LATAM Airlines",,{},"{Ponferrada,""Santiago de Compostela""}",,{}
"Sr. Raúl Cantú Coronado",21999856,2,srracaco@viajes.cl,sr.6811,te11S7nb01,"+56 9 3484 2400",Diurno,Banmédica,"Part time",606411,,,,,Disponible,70388,Sevilla,Cuenta,2025-07-07,2025-10-22,98,2581,219000,JetBlue,,{},"{Motril,Rubí,Cáceres,Ávila,Parla}",,{}
"Sta. Julia Meraz Valverde",24876305,1,Sta.valverde@viajes.cl,stjumeva,jk4CMQup6RqSGx,"+56 2 9906 8849",Nocturno,Consalud,"Part time",606413,,,,,Disponible,42743,Cáceres,Pamplona,2026-08-29,2026-09-27,28,716,57000,KLM,,{},"{""San Sebastían de los Reyes"",Torremolinos,""San Sebastían de los Reyes"",Lérida,Lugo}",,{}
"Mayte Vallejo Anaya",20741706,8,Mayteanaya@viajes.cl,mayte2965,M4Eh71wF4U10,"+56 2 2833 9990",Diurno,Colmena,"Part time",606414,,,,,Disponible,617,Reus,CASTELLóNDELAPLANA,2025-08-04,2025-12-13,6,3152,239000,"Air Canada",,{},{},,{}
"Ester Pabón Guevara",26017076,7,espagu@viajes.cl,espagu,U0Af25R0rptSzP,"+56 2 3980 9384",Nocturno,Consalud,"Full time",606416,,,,,Disponible,86069,Lérida,Pontevedra,2026-08-16,2026-10-26,71,1721,76000,Ryanair,,{},"{Elda,León}",,{}
"José María Briones Quiñónez",768824,5,josOo3304@viajes.cl,Joséquiñónez,yUV3NMfsY,"+56 2 0696 4774",Nocturno,"Más vida","Part time",606417,,,,,Disponible,70132,ElEjido,Pamplona,2026-10-25,2026-11-12,45,449,140000,"Southwest Airlines",,{},"{Reus,Linares,Valdemoro,Valencia,Ávila}",,{}
"Enrique Garica Calderón",9719177,8,enrique2388@viajes.cl,Enriquecalderón,Ux90Rcwvb6QiEjM,"+56 2 0555 3345",Diurno,Consalud,"Part time",606418,,,,,Disponible,89117,Gijón,Ávila,2026-02-08,2026-06-01,93,2732,153000,"Ethiopian Airlines",,{},"{""San Fernando"",""San Fernando""}",,{}
"Inés Salas Venegas",11670625,3,InOosvenegas@viajes.cl,Inésvenegas,l65Pbvsh,"+56 2 5545 4899",Diurno,,"Full time",,,,0,,Disponible,24586,Lorca,Salamanca,2026-10-30,2026-12-13,19,,90000,"Copa Airlines",,{},{Lérida},,{}
"Federico Guardado Valverde",25612303,7,federico3486@viajes.cl,Federicovalverde,YH4Sl31dmqR,"+56 2 8486 3572",Diurno,Banmédica,"Full time",606421,,,,,Disponible,36036,Valencia,Ceuta,2025-06-06,2025-07-23,77,1137,65000,"Frontier Airlines",,{},"{""San Sebastián""}",,{}
"Natalia Lira Palacios",22678227,3,natalia4353@viajes.cl,Nataliapalacios,LUR0cqabivo9huD,"+56 2 0637 7991",Nocturno,Colmena,"Full time",606423,,,,,Disponible,98446,SanlúcardeBarrameda,León,2026-11-14,2026-11-28,85,345,5000,"Japan Airlines",,{},"{Mataró,""Jerez de la Frontera""}",,{}
"Hugo Montes Razo",26919475,8,Hugorazo@viajes.cl,humora,m5wOJyN7PY7,"+56 9 7382 2471",Diurno,Consalud,"Part time",606424,,,,,Disponible,87835,granollers,TALAVERADELAREINA,2025-04-06,2025-08-09,96,3022,236000,"Wizz Air",,{},{Torrelavega},,{}
"Rosalia Mota Quiñones",2518273,1,rosalia3675@viajes.cl,rosalia8888,lGG2ck8c,"+56 9 1773 6495",Nocturno,Fonasa,"Part time",606426,,,,,Disponible,14184,Algeciras,Santander,2026-06-10,2026-11-09,52,3665,440000,JetBlue,,{},"{""San Sebastían de los Reyes""}",,{}
"Beatriz Ybarra Viera",26084047,9,beybvi@viajes.cl,Beatrizviera,BuCUOMP8TYqj9wa,"+56 2 6825 2573",Diurno,Fonasa,"Part time",606428,,,0,,Disponible,51288,león,CALAHORRA,2025-08-07,2025-10-16,92,1695,82000,"Ethiopian Airlines",,{},"{""Santiago de Compostela""}",,{}
"Sra. Manuel Orosco Urías",29425356,4,srmaorur@viajes.cl,Sra.urías,l2tQygbr,"+56 9 7882 2877",Nocturno,"Más vida","Full time",606429,,,,,Disponible,59329,Motril,MOLLETDELVALLéS,2025-12-27,2026-01-14,28,439,148000,"American Airlines",,{},{Cuenta},,{}
"María José Rivera Puente",18184089,7,MarOAapuente@viajes.cl,maría2924,6AZS1ohM,"+56 9 0770 1529",Nocturno,Colmena,"Full time",606430,,,,,Disponible,66787,lugo,Murcia,2026-08-20,2026-09-01,84,298,66000,"Spirit Airlines",,{},"{""Castellón de la Plana"",Benidorm,""Santa Coloma de Gramanet"",""Alcalá de Henares"",Valencia}",,{}
"Felipe Quintana Jaramillo",16712218,3,fequja@viajes.cl,felipe2970,gXQrSbW1S1ocVVbG,"+56 9 9469 9500",Diurno,Banmédica,"Part time",606431,,,0,,Disponible,91567,Segovia,JerezdelaFrontera,2026-02-28,2026-04-04,28,850,130000,"Spirit Airlines",,{},{},,{}
"Sr. Clemente Negrete Mota",9820169,6,Sr.mota@viajes.cl,sr.5106,Ulgo3RxJWQ17zuxo,"+56 2 8629 6672",Diurno,"Más vida","Part time",606433,,,,,Disponible,99315,Parla,Arrecife,2025-03-10,2025-07-17,23,3113,225000,"LATAM Airlines",,{},"{Palencia,Telde,Torrelavega,Granollers}",,{}
"Alberto Tejada Nieto",28313101,7,Albertonieto@viajes.cl,Albertonieto,o8EK172Rlx5H,"+56 2 8577 8399",Nocturno,Fonasa,"Part time",606435,,,,,Disponible,75088,Granada,AlcaládeHenares,2025-04-13,2025-07-06,69,2028,168000,Vueling,,{},"{Torrevieja,Mérida}",,{}
"Patricio Tafoya Saiz",9643219,4,patricio6305@viajes.cl,patasa,Yvsq8lrnLhVCVhy,"+56 2 0184 5302",Nocturno,Colmena,"Part time",606437,,,,,Disponible,40824,Santander,Manresa,2025-09-03,2025-10-10,4,910,113000,"All Nippon Airways (ANA)",,{},"{Pontevedra,Motril,""Santa Lucía de Tirajana"",""San Sebastián"",Sevilla}",,{}
"Alejandra Valdés Banda",10067342,8,alejandra851@viajes.cl,alejandra6569,mFv197z3c7Ie0ld,"+56 9 7335 8710",Nocturno,"Más vida","Part time",606438,,,,,Disponible,34809,Ávila,HospitaletdeLLobregat,2025-05-11,2025-08-23,50,2515,146000,"Japan Airlines",,{},"{""San Sebastián"",Gerona,Segovia,Parla,Pamplona}",,{}
"Emilio Montañez Montez",29811757,6,Emiliomontez@viajes.cl,Emiliomontez,iBM8aTVrj28W,"+56 2 1405 1895",Nocturno,Colmena,"Full time",606439,,,0,,Disponible,87489,Albacete,Badajoz,2025-03-02,2025-03-07,83,143,141000,Emirates,,{},"{Burgos,Calahorra,""Hospitalet de LLobregat"",Salamanca}",,{}
"Miguel Roldán Regalado",9698626,2,Miguelregalado@viajes.cl,miguel7010,E24tq6yQ7,"+56 2 1927 8240",Nocturno,Colmena,"Part time",606444,,,,,Disponible,45728,Fuengirola,Fuenlabrada,2026-06-21,2026-07-18,27,662,163000,Aeroméxico,,{},{},,{}
"Sra. Cristian Escamilla Zaragoza",9970875,1,sra.3208@viajes.cl,Sra.zaragoza,51jsDms4,"+56 2 0874 7526",Diurno,Fonasa,"Full time",606445,,,,,Disponible,19928,Tarrasa,Valdemoro,2026-03-21,2026-08-01,11,3204,279000,"Alaska Airlines",,{},{},,{}
"María Cristina Amador Delatorre",12898601,4,marOAa9219@viajes.cl,maría1558,exVL37n2Zdv7,"+56 9 3701 5481",Nocturno,Colmena,"Full time",606447,,,,,Disponible,79350,LaLíneadelaConcepción,Calahorra,2026-11-04,2026-12-16,21,1026,112000,"Alaska Airlines",,{},"{Alcobendas,Vigo}",,{}
"Alejandra Dávila Vázquez",25166237,1,alejandra9569@viajes.cl,aldává,XaAhFaK4O3gH6nD,"+56 9 0575 5287",Nocturno,Banmédica,"Full time",606448,,,0,,Disponible,70642,AlcaládeHenares,PalmadeMallorca,2025-12-05,2026-03-06,4,2194,89000,"LATAM Airlines",,{},{},,{}
"Gonzalo Camarillo Palomino",25849194,7,Gonzalopalomino@viajes.cl,gonzalo8614,YRErwi5Ygy,"+56 9 6156 1989",Diurno,Colmena,"Part time",606449,,,,,Disponible,39298,Ponferrada,Cuenta,2026-09-22,2026-12-16,30,2060,53000,"All Nippon Airways (ANA)",,{},"{Fuengirola,""Sanlúcar de Barrameda""}",,{}
"Alejandra Flórez Irizarry",10685013,5,Alejandrairizarry@viajes.cl,alejandra7490,paOXTSI9sW4,"+56 2 0132 2261",Diurno,Consalud,"Full time",606450,,,0,,Disponible,34902,Baracaldo,Ferrol,2025-03-09,2025-07-22,19,3252,394000,Avianca,,{},"{Inca,Cartagena,Madrid,Benidorm,Benalmádena}",,{}
"Alfonso Tórrez Zepeda",1667154,1,alfonso275@viajes.cl,altóze,z6zZC23e0EPL4z,"+56 9 9885 1896",Nocturno,Banmédica,"Part time",606452,,,,,Disponible,53540,Valencia,Vigo,2026-10-20,2027-02-09,60,2705,181000,"Frontier Airlines",,{},"{""Hospitalet de LLobregat"",""Cornellá de Llobregat""}",,{}
"Rosario Saucedo Carranza",13912425,1,rosario4305@viajes.cl,rosario3348,ipkHXkD5o4,"+56 9 4149 1226",Nocturno,Consalud,"Part time",606453,,,,,Disponible,90165,Vigo,CornelládeLlobregat,2026-03-03,2026-08-08,8,3797,487000,EasyJet,,{},"{Granollers,Motril,""La Línea de la Concepción"",Alicante}",,{}
"Catalina Madera Delapaz",9680228,5,Catalinadelapaz@viajes.cl,camade,c8boyjYp,"+56 2 4476 2048",Diurno,Consalud,"Full time",606455,,,,,Disponible,42208,Zaragoza,Majadahonda,2025-05-09,2025-06-13,45,843,49000,"LATAM Airlines",,{},{},,{}
"Sr. Lola Bétancourt Nevárez",19726300,8,Sr.nevOerez@viajes.cl,Sr.nevárez,Z6XvtCH65q34S5TW,"+56 9 7175 0220",Nocturno,Consalud,"Part time",606456,,,,,Disponible,81889,Badalona,SANCRISTRóBALDELALAGUNA,2025-05-04,2025-08-23,5,2673,290000,"Etihad Airways",,{},"{Benidorm,Marbella}",,{}
"Jerónimo Villalpando Blanco",4072896,1,JerOInimoblanco@viajes.cl,jerónimo5432,ewYjX7yUJMYv,"+56 2 4184 5899",Diurno,"Más vida","Full time",606457,,,0,,Disponible,33438,Arrecife,ELPUERTODESANTAMARíA,2025-06-19,2025-11-27,54,3884,497000,"LATAM Airlines",,{},"{""El Prat de LLobregat""}",,{}
"Nicolás Véliz Ozuna",7290218,1,nicolOes4043@viajes.cl,Nicolásozuna,jWsn6EhTnir2,"+56 9 9277 0716",Nocturno,Colmena,"Full time",606459,,,,,Disponible,9662,Mijas,Leganés,2026-03-03,2026-05-22,48,1940,197000,"Air New Zealand",,{},"{Coslada,""Palma de Mallorca"",""Alcalá de Guadaira""}",,{}
"Sra. Julio Rodríguez Trejo",2546741,8,Sra.trejo@viajes.cl,sra.1030,yP7TRJ40Vfg0BY,"+56 2 0478 5010",Diurno,Colmena,"Part time",606460,,,,,Disponible,19033,Valencia,Huelva,2026-07-13,2026-10-21,2,2418,294000,"Singapore Airlines",,{},"{""San Sebastían de los Reyes"",Inca,Burgos}",,{}
"Jorge Ocampo Sanabria",24329686,2,jorge8635@viajes.cl,joocsa,rad8bnWXdDiiq,"+56 2 1637 4205",Diurno,Fonasa,"Part time",606462,,,,,Disponible,5684,Burgos,Rubí,2026-05-01,2026-08-30,94,2916,353000,"Japan Airlines",,{},{Pontevedra},,{}
"Timoteo Barreto Espinosa",15924429,6,Timoteoespinosa@viajes.cl,timoteo4169,RNBb3YzG2Am,"+56 2 2716 6046",Nocturno,"Más vida","Part time",606463,,,,,Disponible,54196,Bilbao,Orihuela,2025-12-23,2026-05-05,88,3200,127000,"Frontier Airlines",,{},"{Albacete,""Palma de Mallorca"",""El Ejido""}",,{}
"Victoria Rubio Grijalva",29697243,6,victoria9870@viajes.cl,virugr,dzyRoY3iC,"+56 2 0488 3755",Nocturno,Fonasa,"Full time",606464,,,,,Disponible,68649,Motril,Móstoles,2026-03-26,2026-05-06,94,988,64000,"Singapore Airlines",,{},{},,{}
